id;number;nombre_estilo;categoria_estilo;abv_min;abv_max;abv_med;ibu_min;ibu_max;ibu_med;srm_min;srm_max;srm_med;descripcion;ejemplo_nombre_comercial;ejemplo_imagen_comercial
1;Small SCSI;Technician Architect calculate;Auto Loan Account;38361;2458;6562;2212;82151;32361;37183;48864;81878;Public-key Grocery Ball;Representative partnerships;GB Serbia
2;Guinea Franc fuchsia Licensed;Profound Plastic XSS;Chair mindshare Interactions;41972;85736;63852;96452;39759;76009;27421;44229;98397;e-services;program override red;payment efficient RSS
3;Vietnam Mouse;SDD;Cheese Summit Saint Martin;1786;62622;79679;13124;29416;3252;91183;92084;96751;indigo Manors;Rubber;Credit Card Account
4;architectures;Networked;Handcrafted Rubber Gloves;26899;59026;79755;43324;31036;98435;45522;14958;1162;Handcrafted Cotton Shirt Walks;port payment;XSS solid state Handmade Granite Fish
5;Concrete;Planner;Health;48235;61815;21034;70246;34601;55964;77580;977;94123;Sleek Granite Computer;revolutionary Sports Fantastic;benchmark Planner
6;Solomon Islands Dollar;overriding Rustic Metal Computer Web;circuit;3158;59477;93621;61660;5197;61294;54129;29883;70906;XSS alarm neural;Auto Loan Account Avon;Customer Montserrat
7;online Port Sleek Wooden Fish;Handmade Generic Concrete Tuna;Trafficway;61574;21921;32901;97586;47018;33689;74427;18211;87183;systems Sleek Wooden Towels Clothing;Fundamental Designer;Borders Intelligent whiteboard
8;Practical Steel Mouse;indexing;XSS;72716;41590;74270;84624;42549;62876;34593;73535;37103;Analyst Awesome Fresh Hat New Jersey;Clothing target;HDD Forward
9;withdrawal Planner;National;benchmark;46581;63156;83599;73311;23579;13156;77600;71582;40531;Savings Account deposit redefine;Shirt SDD;communities Refined
10;Pike Borders;payment Rustic;envisioneer Coordinator;25813;85798;65673;903;32519;58841;77347;59871;13087;Manager Ford;SDD;Gloves Jordan
