id;nombre_proveedor;razon_social;cuit;telefono;fecha_alta;domicilio;correo;notas;condicion_fiscal;localidad;codigo_postal;provincia;contacto
1;Designer;mindshare;Guam bandwidth Liaison;program Auto Loan Account Refined;2019-11-29;Algerian Dinar Fantastic Fresh Salad;;../fake-data/blob/hipster.txt;MONOTRIBUTISTA;Interactions;98600;SAN_JUAN;navigate Oklahoma
2;Triple-buffered array;Bedfordshire Tools;Arizona hack;Fresh payment synthesize;2019-11-29;Markets;;../fake-data/blob/hipster.txt;RESPONSABLE_INSCRIPTO;Designer Incredible Fresh Car Tuvalu;99296;TUCUMAN;Dalasi
3;Orchestrator Naira;Legacy Unbranded Plastic Chips;Unbranded Cotton Table Generic B2B;olive;2019-11-29;one-to-one Indiana;;../fake-data/blob/hipster.txt;MONOTRIBUTISTA;Falkland Islands (Malvinas);30952;ENTRE_RIOS;Senior
4;Usability models New Mexico;markets Accountability EXE;Chair;drive online;2019-11-28;Shirt Credit Card Account disintermediate;;../fake-data/blob/hipster.txt;RESPONSABLE_INSCRIPTO;SMS;81290;CORRIENTES;input Accounts
5;enhance Multi-channelled purple;Response;white SMTP;Checking Account global Steel;2019-11-28;Kyrgyz Republic transmit;;../fake-data/blob/hipster.txt;RESPONSABLE_INSCRIPTO;Grocery transmit;62030;ENTRE_RIOS;Industrial seamless
6;withdrawal Jamaica;International;Luxembourg Spurs;empower Home Loan Account SMS;2019-11-28;Granite Configuration Buckinghamshire;;../fake-data/blob/hipster.txt;MONOTRIBUTISTA;Future-proofed Awesome;12887;ENTRE_RIOS;deposit Chicken best-of-breed
7;RSS Buckinghamshire Officer;teal Licensed Wooden Pants;e-business;Awesome;2019-11-29;Island cyan;;../fake-data/blob/hipster.txt;MONOTRIBUTISTA;Sleek GB Regional;6107;FORMOSA;quantify
8;Manager;cultivate Bedfordshire;navigate Kiribati;bypass Games Customer-focused;2019-11-28;Internal Buckinghamshire Antarctica (the territory South of 60 deg S);;../fake-data/blob/hipster.txt;RESPONSABLE_INSCRIPTO;leverage Toys software;21144;SAN_JUAN;National
9;Ranch impactful;Berkshire Awesome;pixel Pennsylvania;architectures Cotton;2019-11-29;customized payment;;../fake-data/blob/hipster.txt;RESPONSABLE_INSCRIPTO;Intelligent;15285;SANTA_CRUZ;scalable
10;Unbranded Fresh Car;Andorra;Rand Namibia Dollar Executive;incubate Agent TCP;2019-11-28;Networked Fish Tanzanian Shilling;;../fake-data/blob/hipster.txt;RESPONSABLE_INSCRIPTO;Buckinghamshire;24240;CHUBUT;Montana
